,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
FBXO2,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
FBXO44,0.0,-0.0004958029899486378,-0.0,0.008428253070266976,-0.0,0.00077346685698694,-0.0,0.0012700858658166183,-0.0022252366131005536,-0.0,-0.0,0.0,-0.008419868819630362,0.0,-0.0,0.0016814807351615293,-0.0,0.0020605209563203095,-0.0,-0.0
TNFRSF1B,-0.0,0.001764383525711757,-0.01744870761214251,0.03076052878577717,-0.004012418552085547,0.009630774194670998,0.0547879042832242,0.001235482362402699,-0.0062355288633576715,-0.0,-0.0,-0.030946011637538698,0.03416435808882711,0.009793570579110124,-0.006606906417882599,0.005332787817399201,0.012146094524446625,0.020092073044749838,-0.018802759390257953,-0.004664195764543445
VPS13D,-0.0,-0.0006082514165815843,0.0,0.008821596549271851,0.0,0.018997889172665983,-0.0,-0.002843630749526778,-0.005665792410099547,0.002878971274295143,0.0018043452661927952,0.00010393394755873437,0.0,-0.004393857107887295,0.007707262452862466,-0.007218246924900286,-0.0,0.0,0.006152573729691329,-0.0
DHRS3,-0.012600137226169018,0.0,-0.028069906442568408,0.0071718584037876645,-0.009399952693916141,0.07140112412543474,-0.01014177841067109,0.017330408357163655,0.03312978278124746,0.008823348459464352,-0.007141475628819792,-0.07621852152253909,-0.031003020058424344,-0.013101556462397966,0.023262556630437983,-0.0055916777961410435,0.03982600083575569,0.017165011570237452,0.011277246910736104,-0.0
HNRNPCL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM2,-0.009521176351472963,-0.0013659880199111065,-0.010421446287088897,-0.0,0.0,-0.0,0.01143868663680586,0.0,0.04090584206734158,-0.0024992194102768732,-0.0,-0.0009963760697187715,0.0,0.0199560562602808,-0.012093989336290538,0.01689615892501482,0.010190931940179952,-0.01245358812332135,-0.013110099381197626,0.0
FHAD1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
RP3-467K16.4,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
DNAJC16,0.0,0.001554784128994538,-0.0,-0.0,-0.003571369987809186,0.003327767076813307,0.0037784446561815515,-0.0044156678942327,-0.0,0.0008093575522256993,-0.007269550367783036,-0.0,-0.003200284969273419,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
FBLIM1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
FLJ37453,-0.0,0.0,0.0,-0.00018740755879340337,-0.00020895526284465742,-0.0,0.0,0.0,0.0,-0.003456590392126995,0.0,-0.006026914124822856,0.007909754767874871,0.0,0.0019245848897457489,-0.0,-0.0,0.0,0.0034242887428892533,-0.0
FAM131C,-0.0,0.0010068967038866093,-0.0,0.01118566569398584,0.0011717429386979734,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
SPATA21,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
RP4-798A10.2,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,8.272970108237175e-05,-0.0,0.0,0.001948467621837493,0.0,-0.0,-0.0,0.0,-0.00023458076085545093,-0.0
NBPF1,-0.0,0.0,0.0,-0.0015090908506321802,-0.0,0.0,0.001981931418334072,-0.0,0.0,0.0015891066004104165,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
RP11-108M9.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
KLHDC7A,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
IFFO2,0.0,-0.0030852659820460823,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.00045851479650787163,0.0,-0.0,-0.0,0.0025178377761549227,-0.0,-0.0,0.0,0.0019987969899284692
AKR7A3,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
OTUD3,-4.773363547955077e-05,-0.0021682653923253727,0.0004917876222300183,-0.0,-0.0007969060543844813,-0.0,-0.004371024737383052,-0.0,-0.0,0.0017315685452334345,0.0,-0.0,-0.0,0.00204802540408103,0.0044657597374735255,-0.0,0.0,0.0,0.0,0.0
PLA2G2C,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
UBXN10-AS1,0.0,-0.0,-0.0005280470948416291,0.005063878759289787,-0.0,0.0011277796862545592,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0010299535697133892,-0.0,-0.0,0.0,-0.0,0.0
RP4-745E8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINK1,-0.002341217808629725,-0.0016872014532594382,-0.006759653762465331,-0.0030128092878408687,0.0,-0.0,-0.0025688938172159863,0.004029921114247223,-0.0,0.0,0.0,-0.0,0.0,0.004123332675732709,0.0027028382979208043,-0.004324210829782807,-0.009184082401564297,0.0,-0.0187652094883213,-0.008446790972484028
RP5-1071N3.1,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
NBPF3,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
LINC00339,0.00018773284478981365,-0.00041553396588976275,-0.0,0.0010886212047909148,0.0,0.0036129562659213284,0.0,-0.0004534906400880894,-0.0,-0.0011392180646283868,0.008418660121087145,-0.0,-0.0,0.004317720629831948,0.0,-0.0,0.0,-0.0,-0.0,-0.0
LINC01355,0.006002515532789784,0.0,0.004519913525509003,-0.0,0.0016787655991577688,0.0,-0.0,-0.0,-0.0,-0.0,-0.001671928107475143,0.0,0.00022696349706429129,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.004338204582722182
TCEA3,-0.0,0.002037287822986558,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0009590669014182207,-0.0,0.0,-0.0005104205598492722,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
RP1-150O5.3,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ID3,0.04871553524645401,0.014608272116856284,-0.0013335351512070717,0.010928822927211061,-0.0,0.055019422320647715,0.0,-0.014083638200696129,4.791570103856248e-05,-0.015162017223765692,0.00917559956434815,-0.0,-0.0,-0.014857901545302721,0.024821522961898743,0.011280586074946856,-0.0,-0.012228082482475686,0.003601681090395265,0.007872800986199776
MDS2,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
CNR2,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
NIPAL3,0.008107628543758716,-0.0,0.01287786404015715,-0.02154304931696458,0.009845806426109684,0.010537986887368634,0.012474946076507265,-0.0,0.003244393355019218,-3.688808364543291e-05,0.0033935400032912514,0.011830078035036825,-0.0022105469314833265,-0.0,0.0,0.0,-0.00010073091940237433,0.0039021827073639323,0.0007937543008196817,-0.0
RCAN3,0.013831664103826935,0.047993768112802586,-0.03236984616068441,-0.007256974851667944,0.014098239738992761,-0.005748665711759719,0.025453225845735786,0.0,-0.0,-0.0,0.010920244619322448,0.003309466729799226,0.0,0.023685678892225906,-0.034950121208155,0.000745853172636733,0.0,-0.04257999590013686,-0.007905315334655437,-0.009674147059039186
RP4-594I10.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.001759771748316099,-0.0,0.0,-0.0,0.003136710397404219,-0.0,0.0,-0.0014746386197290878,-0.0,-0.0,0.0,-0.0,0.0
RP4-799D16.1,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RP4-706G24.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SYF2,-0.011365459776701944,0.025548481730125,-0.0086513510442084,-0.008158829183169262,0.06466355878482903,0.005369229089900135,0.06017291303569707,0.011994321099727971,0.04529860986041252,-0.008040828004248005,0.06747583702931703,-0.011254898213444062,-0.0,-0.027878604282227097,-0.0296143677346411,-0.016504461202240295,-0.06520264386597177,-0.008716039994203043,-0.01239436860004827,-0.05970311370743187
RSRP1,-0.027382695200290116,0.014338314822242735,0.010541273464598589,-0.011321110018598186,0.05193190185250761,-0.0029259462732746937,0.005779112763736807,-0.005319368600832431,-0.007385169891780304,-0.029418637068145997,0.015791245097503154,0.02139617696414114,0.0,0.0,-0.03774066645207847,-0.0012785666609652084,0.019525381349775096,-0.010310901083500109,-0.0001566791173822041,-0.025078834330191688
LDLRAP1,-0.0,-0.0,0.0026146671337355116,0.0,0.0,-0.0,0.0,0.0,0.0,0.003164299715860551,-0.0,-0.0,-0.0009929954973703864,-0.0003230049028150369,-0.007274776304021982,-0.0,-0.0006677064484128316,0.0,-0.0044808321970789995,0.0
RP11-70P17.1,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
MAN1C1,0.001291039062000108,0.005934449613473599,0.0011568599270720028,-0.0025017694139401773,0.0,-0.0,0.0,0.0040892348089475224,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0022543317549730706,-0.0,-0.0,-0.0,-0.0,-0.0
RP1-187B23.1,0.00042657497631749347,0.0,-0.0023354127396923536,-0.0,-0.0,-0.0,0.0,-0.002531006247258577,0.010717383873005413,0.0,-0.0,0.0,0.00833281618277188,0.0008975928503342052,0.0027477890928141895,0.0027748616433634237,-0.006141314975014645,0.0,-0.0,0.0
RP1-317E23.3,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
PAQR7,-0.0,0.0,0.0,-0.0012698233140285848,0.0,0.0,-0.0,-0.0,-0.0001766464061271853,0.0,0.0,-0.0,0.0,0.00015561696624774812,-0.0,0.0,0.0,0.004537293945644749,0.000913353367050557,0.0
STMN1,-0.013771585643475593,-0.012822217666118999,-0.015010041750918258,-0.049520835801085746,-0.10364439848802995,0.03174709655763654,0.0665108842235474,0.027862687011909238,-0.002883238953308231,0.050586175222282585,-0.007017741219937751,-0.09907183393279792,-0.044443515920962226,-0.020691429905869203,0.03301440705660593,0.10307331547248604,-0.05441374421372239,-0.0,0.005906114674230616,0.06439240134098628
PAFAH2,-0.0,0.0,-0.0,0.0078251733807057,0.01366523592802187,0.0,0.0,0.0,0.00016698695704769304,-0.0039294792046502165,-0.0045304157927494575,-0.0,-0.0,0.0,-0.0,0.0,-0.0064417332510771025,0.0036040491328939643,-0.007934055917676245,-0.0
