,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
RPL41,0.05387712322922255,0.04010616069021873,-0.06672987429839373,0.052063792844278915,0.0001504406381354367,0.04009311633999562,0.0703164829855435,0.011858556818663126,0.013007207037171297,-0.009243845974828514,0.002857144149752653,-0.10100790751480915,0.0021450587152384015,-0.01429582659424004,-0.0015840238758186645,0.02446078648409508,-0.05712250631422386,-0.005300471330515142,-0.027058968864309932,0.00242893125147952,-0.012090555692897602,-0.12570786364557895
FTL,-0.12116656013835214,-0.05300833066434148,0.023264641979985456,-0.0359444175732269,0.0027573049528678882,-0.1199040448113875,-0.07329069935813332,0.003780686887776402,-0.047996645172334665,-0.00017731990803798226,-0.00734384733805768,0.10226007181120564,0.0006001092905477869,-0.008777117304549473,-0.0008783149333915674,-0.013077598137509963,-0.02915325479610977,-0.00027882670073985213,0.06258142081294835,0.001636024778053414,-0.001858389219076038,-0.11306999428411657
STMN1,0.02003039138554059,0.0039026261974112663,-0.005971868348222624,-0.06267105973051881,0.0011350966031620038,-0.010513268662075529,0.18960241120323387,-0.010064682579505385,-0.0063783949261627245,0.028972880560756153,0.010780839257634489,-0.0030309945297940957,-0.003381261341758402,0.05168840233143101,-0.005015593019173727,0.0018839858492444468,0.10211515996687236,0.006622958162114042,-0.08523736953327529,-0.0024583148204551653,0.016164313540492678,0.3359072242661396
YBX1,0.05719767535261248,-0.0018172968109405614,-0.018406488003914295,0.04638557633845439,0.00035579792104618293,-0.017691776417672635,0.0686681751664672,-0.0001592561202708052,-0.0014245674195170017,0.08609276892631099,-0.006473924428588603,-0.021102724280607995,0.012024889894439532,0.008206051863381312,0.0003318952581805753,0.02778869914692449,0.00019959984821494355,0.01503837405338518,0.04254218134753318,-0.007170112364034893,0.06791647140138347,0.31216205366217487
MT-ND1,-0.059900218690891543,-0.018445878366059296,0.061394788178111455,0.05520968883701681,0.0012428938005572172,-0.03414466550491187,-0.1561104598047171,0.00435404004042057,-0.0060557870282272695,0.05291113145705513,-0.010438895441201326,0.08520945019840745,0.007290872992300955,0.0005571239358977513,0.0027316181919449143,-0.00015330714344726631,-0.0018884878216898094,0.0017053273569774088,0.03551513498304695,-0.00037513263158704186,0.051286436290895084,0.04187763581651628
HLA-DRA,0.13595582463504893,-0.010906314750788253,0.015191089518152972,-0.1545730769716745,-0.0012623188102300383,-0.004761731989864786,0.026621002308862315,-0.036383386825967465,0.006263591479246544,-0.006060125443803121,0.011303034425112376,0.005873853032875978,-0.030153081899110055,0.0036446331538626457,-0.0011323120566832084,-0.09798474287857743,-0.01775736652227544,0.019643070169471456,-0.13707779927011812,-0.016682653913179572,0.01742634643793064,0.2640693225261703
MT-ND4,-0.016033688858316714,-0.00844141051355078,0.01893617481231267,0.0475951932612769,0.00023144191645719156,-0.010602088956991907,-0.04055901523611556,5.168945912575808e-05,0.003026754544330324,0.03593693778927514,-0.007190066871030794,0.0280365485743267,0.0035989344743583137,0.003730034623195261,0.0016691408842139238,-0.0004585154944160069,-0.006768722872340901,0.0035163285149131707,0.09653915201115094,-0.0006475466702557933,0.03170498345094891,0.0719354497372197
HMGN2,0.022070294120542008,-0.0021790959152265675,-0.012699474502866443,-0.00511027594041661,-7.729504988645322e-05,0.006153568224763382,0.16273591592961723,-0.009609020615778827,0.01254463113439023,0.04668451505197796,0.0013697841573605874,-0.006320916994117767,-0.001443011309193087,0.0392207880467151,0.000847593285699441,0.026311939789099105,0.07972179197934155,0.015142846273850284,-0.016987739645020393,-0.005681958860758572,0.03251413981409979,0.3388149861601744
IL7R,-0.03332782666787865,0.014786537355000249,0.01039245816735395,0.011243434392070505,0.005418994261589312,-0.04118999565233923,-0.042628631682155665,0.0014145806409957887,-0.007030216676771984,-0.024707744947614598,-0.006598491052969552,0.06840487953956328,-0.002735380836198581,-0.0048931824292872345,-9.964223749139574e-05,-0.00801338675353593,-0.011505359339758686,0.0024328011391597758,-0.046644705063278134,-0.0029305015407385415,-0.01814902723867381,-0.4788766541481022
TRAC,-0.04462231537469671,-0.009999396334769229,0.0025785911149975235,-0.052708495929367605,0.0019064424685975782,-0.020439456445011897,0.05528085345594419,0.0031269009997047068,-0.007583224321268289,-0.03198790585827717,0.009879808883356354,0.05340197544875243,0.004088456026014407,0.003923857751708908,0.00022316193567163548,-0.0052320032738839934,0.014015246033907561,7.493807299687003e-05,-0.11036145775830193,-0.0002056595074123518,-0.029102647206369275,-0.11305331017592156
