,gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj,trt
72486,TRGV5,0.0,inf,,0.0,,,,,SOCS1
72487,TRGV4,0.0,inf,,0.0,,,,,SOCS1
72488,TRGV2,0.0,inf,,0.0,,,,,SOCS1
72489,AMPH,0.0,inf,,0.0,,,,,SOCS1
72490,VPS41,-0.494964167671592,0.06340238098559046,-7.806712618317649,0.0,5.869890643122713e-15,8.697163414425606e-14,0.1116059193621118,0.9776078384551253,SOCS1
72491,RP11-467D6.1,0.0,inf,,0.0,,,,,SOCS1
72492,CDK13,-0.3544089320107424,0.05274034445933424,-6.71988276989756,0.0,1.8187082253641658e-11,1.2275054976581864e-10,0.26818639467464067,0.9776078384551253,SOCS1
72493,SPDYE1,0.0,inf,,0.0,,,,,SOCS1
72494,AC004951.6,-0.1447435510454818,0.07981930655709837,-1.8133902346287634,0.0,0.06977165464903645,0.0773729952352468,0.2816057137279364,0.9776078384551253,SOCS1
72495,LINC00957,0.0,inf,,0.0,,,,,SOCS1
72496,AEBP1,0.0,inf,,0.0,,,,,SOCS1
72497,POLD2,-0.13559101287086542,0.033993617914125515,-3.9887196830121074,0.0,6.643086554429238e-05,0.0001228529448470518,0.913645867975533,0.9923180745046231,SOCS1
72498,TMED4,-0.34771739240445315,0.04442047180046076,-7.82786355728996,0.0,4.962300403891639e-15,7.396190601990871e-14,0.10950302249211728,0.9776078384551253,SOCS1
72499,H2AFV,-0.028527001529870408,0.020246701207382267,-1.408970342263411,0.0,0.1588439379168135,0.16796673164852238,0.20885004372644245,0.9776078384551253,SOCS1
72500,SNHG15,-0.10079153989426277,0.06201790707102009,-1.6252006018010392,0.0,0.1041198222597603,0.11262031746800855,0.24585106035473747,0.9776078384551253,SOCS1
72501,IGFBP3,0.0,inf,,0.0,,,,,SOCS1
72502,UPP1,-0.4771990062702534,0.06212782624775422,-7.680922303112176,0.0,1.579472599389927e-14,2.1263437574582676e-13,0.12477775661066665,0.9776078384551253,SOCS1
72503,AC020743.2,0.0,inf,,0.0,,,,,SOCS1
72504,PHKG1,-0.5287115891399725,0.08717842313991933,-6.064706954969841,0.0,1.32194458375943e-09,5.807279364444935e-09,0.4147185230783136,0.9776078384551253,SOCS1
