,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
CCL3,-0.037598728427625884,-0.000245035881021883,0.0005827944847392161,-0.007272280929121969,0.0007479546101396332,-0.0020028436781484122,0.004131026831879331,0.007057958327086268,0.010440128389347098,-0.0042729361267433335,-0.00028559144098544025,0.0015357906955077627,-0.0019485339994567488,-0.0033216305646586747,0.003620505175886142,0.0021722694261875402,-0.0002991582955040559,0.00027772611838418977,0.006197600183972626,0.0007607947704165432,1.5363923386520412e-05,-0.14632483814261343
RPS2,0.007537252158552011,2.7084994182019767e-05,-0.0038950119018849616,0.036442442608827834,-0.010722089828276361,-0.0012871039935533055,0.05887105586164501,-0.038858717259630325,0.0054914321279355615,-0.001022992566594975,-0.0007880057744543613,-0.004228142925076951,-0.004670955160012442,0.003859399458382233,0.02275395813845621,-0.005644033865102391,-0.003647099749439697,-7.208707045072096e-05,0.050760255582194776,-0.0007058842783172525,-0.00034419342118588013,-0.24891739615458475
CD74,0.01676981174130224,-0.0003428394429620097,-0.0007322891798904281,-0.0022658659585510364,-7.319401365660531e-07,-0.006889595463552418,0.0006947724784751776,0.001075913688790267,0.003402944866884772,-0.001727129744126718,-0.0005800042676117032,0.0006450248753485321,-0.007411119793186422,-0.006978694095013388,0.058013887253136796,-0.08336705945517374,3.861441696005911e-06,0.0004785902407800852,-0.04304501677966143,0.0005458679106074408,0.00022904643193095108,-0.45242916069871575
MT-CO1,0.012053206293972375,4.55391459322835e-05,0.003054762090057498,-0.017734316684883338,0.005371696268868573,0.00034380286318219666,0.008189662630662075,0.019899919979919977,2.0479778337249475e-05,0.0006295615328006188,-0.000374318365742863,0.0014226686957404628,-1.2586414186901212e-05,0.00012314507600753052,-0.01255333644358439,-0.0022335199466934287,0.0009384447207399799,-0.00025274243595579477,-0.06818434211501419,-0.00025226866332608887,-8.760104064951232e-05,0.42377824759810967
MT2A,0.02836991897368643,-4.5373285242189326e-05,0.0002056008726819779,-0.006546843894416827,0.0014601114268243745,-0.000589179768417701,0.007548687167837066,0.007055095995684279,-0.0035006916728881434,0.0012632212393083684,-3.2214196696536595e-05,0.0008906137480301607,-0.007793013453499596,0.0006621027848316655,-0.01574906219415203,0.01798167949770689,0.0014255352204475408,0.0006528384714508409,0.03288373457527745,0.00016061633782217354,-0.00011084668552402927,-0.41828610228308044
MT-CO2,-0.005015551820232728,-0.0001289022198707286,0.0007159006168641041,-0.008240890120730981,0.002087751421485626,-5.192702104695852e-05,-0.0025061133266414235,0.008697922107888003,-0.0008402966820119995,-0.0006624278290285526,0.00015277042902584907,0.0011683084269630702,-4.4889064836066105e-05,-0.0019137027217803126,0.0017233769224866548,-0.003922329455944875,0.0010108033740990627,8.035963328776352e-05,-0.033458771191758094,1.5858198722768394e-05,2.4526478931102935e-05,-0.20576296140378444
TRBC1,0.013589031647946314,5.798454754118816e-05,0.0016904515865249258,-0.011769492118659162,0.0034213776534553577,0.00031367724474541675,0.008606296490980542,0.01306290979095372,8.147652651825481e-05,0.0006043515444991725,-0.00018685365165721347,0.0011492762693366143,-0.0005673051896965454,-0.0011408688371033406,-0.010087142616741892,-0.00395404184372887,0.0009090674898154003,-0.00023223251405932795,0.0015149511127187393,-0.00016317914558546372,-7.682671911068483e-05,0.08255661730308257
TPT1,0.013572613433251966,0.0002134180177720678,0.0013679127466411246,-0.004114844432604216,0.0020440552966997203,0.0002578001603358083,-0.013650800820372453,0.0049814452331098,0.0005632989125111832,0.002217984478559478,-0.00023575668053062778,0.0002024590939274484,0.008352625209690507,0.0029015256888805614,-0.01166313754867351,0.001363398804784478,-0.0010279653782987812,-0.0008767446752135338,-0.04432436928751669,-0.0009722857644210551,4.2317672692203056e-05,0.6111558342275768
S100A4,-0.10467466369846458,-0.0008607506444000723,5.00613266862802e-05,-0.002775103783973401,8.458491583152473e-06,0.0008355025192072189,0.0021018608569377322,0.002467122910957909,-0.0011013692716335104,-0.008400805661361309,0.00017601310651440058,-0.0003484289684140429,0.004450869391995491,-0.016759158051075623,0.05867929831534022,-0.01009003113848723,0.0005989654149234225,0.00030439633369681775,-0.04897421896013478,0.0016813378779124333,0.00035784976904397795,-0.25313083250743296
RPS15A,0.0667195312169977,0.00045524466592350123,0.0017476648805993219,-0.004687307733490576,0.0016901160077483724,-0.0012440009357549886,-0.009566857997285804,0.0056673633187346644,0.002647105504647439,0.005004842592500286,7.025370063038221e-05,0.0005257100921510092,-0.004700100838020605,0.0019406887553779031,-0.02757675380954364,-0.007507765232818581,0.00044900893483578,-0.00020425022935990347,-0.0008036586060917277,-0.001927980680531184,-9.130843099738845e-05,0.08206686489854405
