,gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj,trt
72033,CPEB4,-0.4684292365702453,0.11834725195658487,-3.958091369473339,0.0,7.555105861434773e-05,0.00013607233244779729,0.8895214973483047,0.9952222785200788,SOCS1
72034,HRH2,1.3497947118326485,0.8830968973713921,1.5284786028015946,0.0,0.126393752140423,0.13475694645298347,0.010737643935102223,0.421258001917706,SOCS1
72035,FAM153B,0.0,inf,,0.0,,,,,SOCS1
72036,RNF44,-0.5908368986035122,0.07825352864556519,-7.550290815377772,0.0,4.3428740760746285e-14,4.918895449344778e-13,0.1497461305594101,0.9899930783425118,SOCS1
72037,MXD3,0.0,inf,,0.0,,,,,SOCS1
72038,PRELID1,-0.20264099234837435,0.03152086651692851,-6.428788759330095,0.0,1.286247243569017e-10,6.721759243902181e-10,0.34345962132899277,0.9899930783425118,SOCS1
72039,PRR7-AS1,0.0,inf,,0.0,,,,,SOCS1
72040,DBN1,-0.40778797603051803,0.12407473411310314,-3.2866318750986774,0.0,0.0010139328592075893,0.0014925047579526613,0.6641997713139204,0.9899930783425118,SOCS1
72041,RP11-1277A3.1,0.0,inf,,0.0,,,,,SOCS1
72042,FAM153A,0.0,inf,,0.0,,,,,SOCS1
72043,RP11-1026M7.2,0.0,inf,,0.0,,,,,SOCS1
72044,FAM153C,0.0,inf,,0.0,,,,,SOCS1
72045,HNRNPAB,-0.3148687535547035,0.055836396671009196,-5.63913096702722,0.0,1.7091051227128676e-08,5.895788614590748e-08,0.5483913148366957,0.9899930783425118,SOCS1
72046,PHYKPL,-0.18600974274405624,0.03629263530165614,-5.1252751749214545,0.0,2.971035014960972e-07,8.251046463301009e-07,0.7082170306898261,0.9899930783425118,SOCS1
72047,CLK4,-0.2783527275890746,0.05343581064850384,-5.209104610016209,0.0,1.8975411176573443e-07,5.47616610394289e-07,0.6809933384438436,0.9899930783425118,SOCS1
72048,ZNF354A,-0.45194550914397036,0.09431902588111638,-4.7916685411236255,0.0,1.6539999282953427e-06,3.997658755263833e-06,0.819973556772764,0.9903328083957865,SOCS1
72049,ZNF354B,-0.38383852347475,0.09983319001754168,-3.8447987428560157,0.0,0.00012065141891311923,0.00021046502282286267,0.8503125132498152,0.9931412426964099,SOCS1
72050,GRM6,0.0,inf,,0.0,,,,,SOCS1
72051,ZNF879,0.0,inf,,0.0,,,,,SOCS1
72052,ZNF354C,-0.9056415847889787,0.21973647298307825,-4.121489584747825,0.0,3.764304925683319e-05,7.170987638159567e-05,0.9465256484611306,0.995263781070964,SOCS1
72053,HNRNPH1,-0.2380463694044614,0.047700967055410125,-4.990388750985768,0.0,6.025789706498027e-07,1.5805926342367859e-06,0.7528012299745039,0.9899930783425118,SOCS1
72054,LTC4S,0.0,inf,,0.0,,,,,SOCS1
72055,GFPT2,0.0,inf,,0.0,,,,,SOCS1
72056,SCGB3A1,0.0,inf,,0.0,,,,,SOCS1
72057,LINC00847,-0.6321279857279205,0.07165682875149258,-8.821601468300445,0.0,1.1283421138945672e-18,3.6362167884673733e-17,0.045568292332436394,0.7525465641010991,SOCS1
72058,TRIM52,-0.6450730304653592,0.07740165411873517,-8.334098771013453,0.0,7.809071610754945e-17,1.6136760954437892e-15,0.07425547142296923,0.9306775911953198,SOCS1
