,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
ARHGAP26,0.0037639798178628163,0.0,-0.017142607207180607,0.0,-0.0,-0.022155979142933723,0.009696930367239578,0.0,0.006830631119759341,0.0027491402100599705,0.03246757778698498,-0.0002108746264803215,-0.001052019282348656,0.011318523790884208,0.0,0.019142837695881067,-0.0013115031801235776,0.018491810695439093,0.0,0.009723092303363564
NR3C1,-0.028439687708601818,0.0,0.026077389641558847,0.033041505802313874,-0.04632263299735482,0.009273009969049086,-0.0,-0.027964652591705583,0.02123560602255536,-0.05743003908476869,0.04146136684153559,-0.02018763326141729,-0.042914125510969105,-0.014716166686085821,0.019019891741524447,0.03806115692697534,-0.0,0.012115912466688465,0.018598064765149816,0.016828314753237386
PPP2R2B,-0.002992723718294667,0.001379388926217299,-0.0,0.0,-0.00350759410752421,-0.0,0.0,-0.0020129600512754117,0.018051330547654083,0.006050143275402451,-0.0,-0.0,-0.0,0.0034137125525069032,-0.0,-0.0,-0.0,0.0004922644730560271,0.0,0.0009973300336818145
JAKMIP2-AS1,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
JAKMIP2,-0.0,0.00450011556217389,0.020811648144649697,-0.0,-0.0,0.001640329239304267,0.0,0.0008907090492063147,0.019854841942986333,-0.0009430782453951582,-0.0017324979329068821,0.0021739717845755094,-0.0,-0.0,-0.0,0.011069636542476956,-0.0,-0.0025008616786936218,-0.005121707546487957,-0.0
SPINK9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
FBXO38,0.014060624028324881,-0.011722068751898494,0.027095289793671335,-0.011674313086283998,0.029530757209527376,-0.004098987456552247,-0.024857301380732666,-0.0015266308854732437,-0.017594933084318115,0.0061284648506285625,-0.004844915529261626,0.01726495192097826,-0.006568672172035461,-0.0,-0.011351241825866165,-0.0,0.016216066844559302,-0.0026171367502258293,-0.028461907740780026,0.031928498936148526
CTD-2283N19.1,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
ADRB2,-0.0,0.0,0.0,-0.0,0.0070940582652135415,0.006680688779321109,-0.0,-0.0,-0.0011362186058801313,-0.01412451817473318,-0.0,0.0,-0.0,0.0,-0.010507391576351846,0.0,-0.0,0.006489802289302524,0.0034207781352594067,0.009127265650808786
SH3TC2,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
CARMN,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
